Kommentarer__0-5_,Kvinne,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Unnamed_8,Unnamed_8_link,Når_komponert,Når_komponert_link,Unnamed_10,Unnamed_10_link,Unnamed_11,Diverse_kommentarer,Diverse_kommentarer_link,Egne_noter,Forlag,Platenr_,Unnamed_16
2,k,X,Anna Lindeman - Album,https://musescore.com/user/26911315/scores/8749332,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1912 - 1915,,A collection of 5 scores,,,,,,,,
5,K,x,En sangfugl,https://musescore.com/user/26911315/scores/7498448,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,Johan Sebastian Welhaven,https://no.wikipedia.org/wiki/Johan_Sebastian_Welhaven,1807 - 1873,,1881,,Published 1883,,,,,,Peter Håkonsen,,
5,,,Godt humør,,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1915,,,,,,,,,,
4,K,,Haugtussa,,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1914,,Op 3,,,,,,,,
5,K,x,Hil vort Land! Hil Kong Haakon!,https://musescore.com/user/26911315/scores/10568182,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,"Holtvedt, Kristian Hansen",https://www.nb.no/items/16da1557c6a709b7b5a7a5b4a741160f?page=85&searchText=%22Kristian%20H.%20Holtvedt%22,1871 - 1945,,1906,,,,,,,,Haakon Zapffe,779,
3,K,x,Hilsen til Grænsevagten 1905,https://musescore.com/user/26911315/scores/8240903,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,C. D.,,,,1905,,,,,,,,Norsk Musikforlag,5855,
,K,,Lille Grete,,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,,,,,,,,,Norsk Musikforlag,5856,
,K,,Lille Hans,,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,,,,,,,,,Norsk Musikforlag,,
2,K,x,Opus 10,https://musescore.com/user/26911315/scores/6380018,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1925,,Op 10. 1-4,,,,,,,,
3,K,x,Opus 8,https://musescore.com/user/26911315/scores/7049285,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1917,,Op. 8. 1-3,,,,,,Musikcentralen,115 - 118,
4,K,x,Romanse,https://musescore.com/user/26911315/scores/7005557,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1928,,Op 12. No 2,,,,,,,,
3,K,x,Tusenfryd,https://musescore.com/user/26911315/scores/6115087,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1916,,Op 5. No 2,,,,,,,,
,K,x,Vaarlængsel,https://musescore.com/user/26911315/scores/6185180,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,Thora Busæth,,1874 - 1965,,1912,,,,,,,,Oluf By,1418,
3,K,x,Veslemor,https://musescore.com/user/26911315/scores/6757754,"Lindeman, Anna Severine",https://no.wikipedia.org/wiki/Anna_Severine_Lindeman,1859 - 1938,,,,,,1915,,Op 4 nr. 3,,,,,,Oluf By,108,
4,,x,Julehilsen,https://musescore.com/user/26911315/scores/7196586,"Lindeman, Kristian",https://ntnu.tind.io/record/101096?ln=en,1870 - 1934,,Sigvald Skavlan,https://no.wikipedia.org/wiki/Sigvald_Skavlan,1839 - 1912,,1901,,First published 1904,,,,,,Norsk Musikforlag,4150,
2,,x,Kronings-Hymne,https://musescore.com/user/26911315/scores/11289688,"Lindeman, Kristian",https://ntnu.tind.io/record/101096?ln=en,1870 - 1934,,,,,,1906,,,,,,,,Haakon Zapffe,818,
3,,x,Octav-Etude,https://musescore.com/user/26911315/scores/22974520,"Lindeman, Ludvig Mathias",https://en.wikipedia.org/wiki/Ludvig_Mathias_Lindeman,1812 - 1887,,,,,,1885,,Warmuth No 1000,,,,,,Carl Warmuth,1000,
4,,x,Bryllupsmarsch,https://musescore.com/user/26911315/scores/24605944,"Lindeman, Peter",,1858 - 1930,,,,,,1889,,Nansen's wedding,,,,,NB,Carl Warmuth,1449,
,,,Drömmelok,,"Lindeman, Peter",,1858 - 1930,,"Bjørnson, Bjørnstjerne",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,,,Op 25. No 2,,,,,,Peter Håkonsen,179,
0,,x,Jeg tenkte jeg blev noget riktig stort,https://musescore.com/user/26911315/scores/6014453,"Lindeman, Peter",,1858 - 1930,,"Bjørnson, Bjørnstjerne",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1882,,,,,,,,,,
2,,,Ser du i dybet funkle,https://musescore.com/user/26911315/scores/5804707,"Lindeman, Peter",,1858 - 1930,,"Scherer, Georg",,1824 - 1909,,,,Norges Melodier III,,,,,,,,
,,,Magnus den Blinde,,"Lindeman, Peter",,1858 - 1930,,"Bjørnson, Bjørnstjerne",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,,,,,,,,,,,
4,,x,Morgen og Aften Salmer,https://musescore.com/user/26911315/scores/13649116,"Lindeman, Peter",,1858 - 1930,,"Kingo, Thomas",https://en.wikipedia.org/wiki/Thomas_Kingo,1634 - 1703,,1894,,Opus 14,,,,,,Carl Warmuth,1940,
4,K,x,Påskemorgen,https://musescore.com/user/26911315/scores/15182092,"Lindeman, Signe",https://no.wikipedia.org/wiki/Signe_Augusta_Lindeman,1895 - 1974,,,,,,1927,,Musik for hjemmet april 1927,,,,,,Norsk Musikforlag,2627,
,,,Menuet,,"Lindhjem, Nils",,1840 - 1893,,,,,,1884,,Nordisk Musiktidende No 10 - 1884,,,,,,Carl Warmuth,,
,,,Sommersky,,"Lindhjem, Nils",,1840 - 1893,,,,,,,,Nordisk Musiktidende No 5 - 1890,,,,,,,,
3,,x,Bourrée,https://musescore.com/user/26911315/scores/18172747,"Lindtner, Nikolai (Carsten Berner)",https://www.nb.no/items/a4f5e34afdd4e27d66211d112fd13097?page=7&searchText=%22Carsten%20Berner%20Lidtner%22,1879 - 1903,,,,,,,,Published 1906,,,,,,,,
,,x,"Norge, mit Norge",https://musescore.com/user/26911315/scores/6131161,"Lindtner, Nikolai (Carsten Berner)",https://www.nb.no/items/a4f5e34afdd4e27d66211d112fd13097?page=7&searchText=%22Carsten%20Berner%20Lidtner%22,1879 - 1903,,Theodor Caspari,https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1903,,,,,,,,Carl Warmuth,2671,
,,x,Nytaarsmorgen,https://musescore.com/user/26911315/scores/6393465,"Lindtner, Nikolai (Carsten Berner)",https://www.nb.no/items/a4f5e34afdd4e27d66211d112fd13097?page=7&searchText=%22Carsten%20Berner%20Lidtner%22,1879 - 1903,,Theodor Caspari,https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1904,,,,,,,,Oluf By,191,
,,x,Skivise I,https://musescore.com/user/26911315/scores/6821420,"Lindtner, Nikolai (Carsten Berner)",https://www.nb.no/items/a4f5e34afdd4e27d66211d112fd13097?page=7&searchText=%22Carsten%20Berner%20Lidtner%22,1879 - 1903,,Theodor Caspari,https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1905,,,,,,,,Oluf By,192,
,,x,Skivise II,https://musescore.com/user/26911315/scores/6821420,"Lindtner, Nikolai (Carsten Berner)",https://www.nb.no/items/a4f5e34afdd4e27d66211d112fd13097?page=7&searchText=%22Carsten%20Berner%20Lidtner%22,1879 - 1903,,Theodor Caspari,https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1905,,,,,,,IMSLP,Oluf By,1268,
,,x,En Fluga i April,https://musescore.com/user/26911315/scores/10375381,"Littmarck, Carl Gottfried Reinhold",https://sv.wikipedia.org/wiki/Gottfried_Littmarck,1842 - 1899,,"Sehlstedt, Elias",https://sv.wikipedia.org/wiki/Elias_Sehlstedt,1808 - 1874,,1872,,,,,,,,Elkan och Schildknecht,542,
5,,x,Abendruhe- Aftenro,https://musescore.com/user/26911315/scores/25024684,"Loeschhorn, Albert",https://en.wikipedia.org/wiki/Carl_Albert_L%C3%B6schhorn,1819 - 1905,,,,,,1871,,Opus 100 - Aus der Kinderwelt,,,,,,Tivoli-album,,
,K,x,Myosotis Waltz,https://musescore.com/user/26911315/scores/7856489,"Lowthian, Caroline",,1860 - 1943,,,,,,1882,,Published in Norway 1885,,,,,,Brødrene Hals,342,
,,x,Venezia-Vals,https://musescore.com/user/26911315/scores/7595840,"Lowthian, Caroline",,1860 - 1943,,,,,,1881,,Published in Norway 1885,,,,,,Carl Warmuth,985,
5,K?,x,Morgen paa Sæteren,https://musescore.com/user/26911315/scores/11509084,Lulla,,,,,,,,1909,,,,,,,PDF,Haakon Zapffe,996,
,K,x,Humoreske,https://musescore.com/user/26911315/scores/6986470,"Lund, Birgit",https://www.nb.no/items/48bc9cccffde9a466876781bb2e520c9?page=1&searchText=%22Birgit%20Lund%22,1843 - 1913,,,,,,1911,,Fire klaverstykker ,,,,,,Norsk Musikforlag,5077,
3,K,x,Lyriske Klaverstykker,https://musescore.com/user/26911315/scores/7289789,"Lund, Birgit",https://musescore.com/user/26911315/scores/7289789,1843 - 1913,https://musescore.com/user/26911315/scores/7289789,,,,,1897,https://musescore.com/user/26911315/scores/7289789,Lyriske klaverstykker,,,,,,Carl Warmuth - Norsk Musikforlag,2201,
,K,x,Længsel,https://musescore.com/user/26911315/scores/6141836,"Lund, Birgit",https://www.nb.no/items/48bc9cccffde9a466876781bb2e520c9?page=1&searchText=%22Birgit%20Lund%22,1843 - 1913,,,,,,1911,,Fire klaverstykker ,,,,,,Haakon Zapffe,658,
,K,x,Vaarsprett,https://musescore.com/user/26911315/scores/8121402,"Lund, Birgit",https://www.nb.no/items/48bc9cccffde9a466876781bb2e520c9?page=1&searchText=%22Birgit%20Lund%22,1843 - 1913,,,,,,1905,,"Opus 8, no 2 - ( 8 lyriske stykker)",,,,,IMSLP,Haakon Zapffe,752,
,K,,Bøn,,"Lund, Inger Bang",https://no.wikipedia.org/wiki/Inger_Bang_Lund,1876 - 1968,,,,,,,,Op 6. No 4,,,,,,Haakon Zapffe,657,
,K,,Gammeldans,,"Lund, Inger Bang",https://no.wikipedia.org/wiki/Inger_Bang_Lund,1876 - 1968,,,,,,,,Op. 10. No 1,,,,,,,,
,K,,Huldrelok,,"Lund, Inger Bang",https://no.wikipedia.org/wiki/Inger_Bang_Lund,1876 - 1968,,,,,,,,Op 6. No 3,,,,,,Haakon Zapffe,656,
,K,,Melodi,,"Lund, Inger Bang",https://no.wikipedia.org/wiki/Inger_Bang_Lund,1876 - 1968,,,,,,,,Op 6. No 2,,,,,,Haakon Zapffe,655,
4,K,x,Striledans og Jølstring,https://musescore.com/user/26911315/scores/12315808,"Lund, Inger Bang",https://no.wikipedia.org/wiki/Inger_Bang_Lund,1876 - 1968,,,,,,1894,,Her first composition,,,,,,C. Rabe Bergen,2,
5,K,,Vuggesang,,"Lund, Inger Bang",https://no.wikipedia.org/wiki/Inger_Bang_Lund,1876 - 1968,,,,,,,,Op 6. No 1,,,Blomstersange,,,,,
5,,x,Oh! You tease,https://musescore.com/user/26911315/scores/16951897,"Lund, Merritt W.",,1886 - 1974,,"Lund, Merritt W.",,1886 - 1974,,1910,,,,,,,Internet,,,
,,,Way out in Utah!,,"Lund, Merritt W.",,1886 - 1974,,"Lund, Merritt W.",,1886 - 1974,,1909,,,,,,,Internet,,,
2,K,x,Albumblad,https://musescore.com/user/26911315/scores/24283894,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1897,,Op 19,,,,,NB,Haakon Zapffe,301,
5,K,,Camelia,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Lilly Egeberg,,1853 - 1937,,1915,,Op 46. No 2,,,,,,Haakon Zapffe,437,
4,K,x,Concert Etude,https://musescore.com/user/26911315/scores/24330142,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1910,,Op 38,,,,,UIB,Signe Lund - Chicago,,
3,K,x,En Erindring,https://musescore.com/user/26911315/scores/6306160,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1898-99,,Op 25. No 3,,,Blomstersange,,,Oluf By,1400,
,K,x,En rose rød,https://musescore.com/user/26911315/scores/8586077,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Lilly Egeberg,,1853 - 1937,,1915,,Op 46. No 1,,,Blomstersange,,,,,
,K,,En sommerdag,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Lilly Egeberg,,1853 - 1937,,1915,,Op 46. No 3,,,,,,,,
4,K,x,Festforspil,https://musescore.com/user/26911315/scores/5933018,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1897,,Op 21,,,,,,Haakon Zapffe,437,
4,K,x,Fredsklokker,https://musescore.com/user/26911315/scores/12617935,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1918,,Published 1928,,,,,,Norsk Musikforlag,6424 a.c.,
,K,x,Gavotte,https://musescore.com/user/26911315/scores/6325815,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1898-99,,Op 25. No 2,,,,,,,,
4,K,x,Intermezzo,https://musescore.com/user/26911315/scores/14951797,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1896,,Op. 16. No 2,,,,,,Haakon Zapffe,235,
5,K,x,"Klungerrose, klungerrose",https://musescore.com/user/26911315/scores/6181547,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,John Paulsen,https://no.wikipedia.org/wiki/John_Paulsen,1851 - 1924,,1897,,Op 22. No 1,,,,,,Brødrene Hals,931,
,K,x,Kveld,https://musescore.com/user/26911315/scores/10612216,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Ole Johan Larsen,,1845 - 1928,,1909,,Op. 41 No 1,,,,,,Oluf By,1194,
,K,x,Legende,https://musescore.com/user/26911315/scores/6225114,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1896,,Op. 16. No 1,,,,,,Haakon Zapffe,235,
,K,x,Lille due,https://musescore.com/user/26911315/scores/6060803,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Gabriel Scott,https://no.wikipedia.org/wiki/Gabriel_Scott,1874 - 1958,,1900,,,,,,,,,,
5,K,x,Menuet,https://musescore.com/user/26911315/scores/11064598,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1896,,Op. 17. No 1,,,,,PDF,Haakon Zapffe,298,
,K,x,Menuetto,https://musescore.com/user/26911315/scores/6139614,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1898-99,,Op 25. No 5,,,,,,,,
3,K,x,Norske Smaastubber,https://musescore.com/user/26911315/scores/9371155,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1893,,Op. 15,,,,,,Haakon Zapffe,84,
2,K,x,Novelette,https://musescore.com/user/26911315/scores/12986884,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1896,,Op. 16. No 3,,,,,,Haakon Zapffe,235,
3,K,x,Opus 34 No 1 - Impromptu,https://musescore.com/user/26911315/scores/22947895,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1905,,Op. 34. No 1,,,,,,Haakon Zapffe,745,
3,K,x,Opus 34 No 2 - Melodie,https://musescore.com/user/26911315/scores/22996360,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1905,,Op. 34. No 2,,,,,,Haakon Zapffe,746,
2,K,x,Opus 34 No 3 - Valse Lente,https://musescore.com/user/26911315/scores/23042695,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1905,,Op. 34. No 3,,,,,,Haakon Zapffe,747,
2,K,x,Opus 34 No 4 - Improvisata,https://musescore.com/user/26911315/scores/23063155,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1905,,Op. 34. No 4,,,,,,Haakon Zapffe,748,
4,K,x,Opus 34 No 5 - Novelette,https://musescore.com/user/26911315/scores/23102503,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1905,,Op. 34. No 5,,,,,,Haakon Zapffe,748,
3,K,x,Return of the Waltz,https://musescore.com/user/26911315/scores/23576119,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1929,,Opus 50,,,,,,Norsk Musikforlag,6446 a.c,
,K,,Roser av Mai,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Lilly Egeberg,,1853 - 1937,,,,Op 46. No 5,,,,,,Haakon Zapffe,437,
4,K,x,Scherzino,https://musescore.com/user/26911315/scores/9976936,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1896,,Op. 16. No 4,,,,,,Haakon Zapffe,235,
,K,x,Skumring,https://musescore.com/user/26911315/scores/6312237,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1898-99,,Op 25. No 1,,,,,,,,
,K,x,Sommerfugle,https://musescore.com/user/26911315/scores/6139602,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1898-99,,Op 25. No 4,,,,,,,,
,K,x,The Road to France,https://musescore.com/user/26911315/scores/5937015,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Daniel MacIntyre Henderson,,1880 - 1955,,1917,,,,,,,,,,
,K,,Til enhver,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Olaf Bull,https://no.wikipedia.org/wiki/Olaf_Bull,1883 - 1933,,,,,,,,,,Norsk Musikforlags eiendom,,
,K,x,Vaarsang,https://musescore.com/user/26911315/scores/6139619,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,1898-99,,Op 25. No 6,,,Blomstersange,,,,,
4,K,x,Valse Violette,https://musescore.com/user/26911315/scores/6693761,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,,,,,,,Op 55. No 3,,,Aftenposten 27. mars 1945,,,,,
,K,,Vandraren,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Johan Sverdrup Holt,,1876 - 1945,,1899,,Op 26. No 3,,,,,,,,
2,K,,Violerne,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Lilly Egeberg,,1853 - 1937,,1915,,Op 46. No 4,,,,,,,,
,,,Wahrhaftig,,"Lund, Signe (Skabo)",https://no.wikipedia.org/wiki/Signe_Lund,1868 - 1950,,Heinrich Heine,https://en.wikipedia.org/wiki/Heinrich_Heine,1797 - 1856,,1900,,Op 28. No 1,,,Musikk for alle January 1928,,,,,
5,,x,Nu somnar hvar flägt öfver vågen,https://musescore.com/user/26911315/scores/16616407,"Lübbert, Otto",,1822 - 1864,,"Atterbom, Per",https://en.wikipedia.org/wiki/Per_Daniel_Amadeus_Atterbom,1790 - 1855,,,,Nordisk Musiktidende - No 8 1885,,,,,,Nordisk Musiktidende,,
3,K,x,Til Ivy,https://musescore.com/user/26911315/scores/6675597,"Lyche, Olga",,1873 - 1949,,,,,,1928,,,,,,,,Petter Håkonsen,21,
4,,x,Jultomtarne,https://musescore.com/user/26911315/scores/13410769,"Löthner, Alex",http://www.lidmanarkivet.se/?page=profile&id=730,1833 - 1887,,,,,,1879,,,,,,,,Abraham Lundquists Musikförlag,2462,
,K,x,Impromptu,https://musescore.com/user/26911315/scores/10031419,"Løvenskiold, Hanna",https://www.nb.no/items/c5a41851127414a06421519a194742c2?page=17&searchText=%22Komponisten%20Hannah%20Løvenskiold%22,1860 - 1930,,,,,,1911,,,,,,,,Norks musikforlag,2995,
3,K,x,Lille Borghilds sidste Vuggesang,https://musescore.com/user/26911315/scores/6857514,"Løvstad, Sidonie",,1850 - 1922,https://www.nb.no/items/a538a210eca8eb5e1cee40fe16187e30?page=9&searchText=%22Sidonie%20Løvstad%22,Theodor Løvstad,https://no.wikipedia.org/wiki/Theodor_Løvstad,1843 – 1913,,1881,,,,,,,,Eget forlag,,
,,,Très moutarde,,Macklin. Cecil,,,,,,,,,,,,,,,,,,
3,,x,Cavalleria rusticana,https://musescore.com/user/26911315/scores/12725371,"Mascagni, Pietro",https://en.wikipedia.org/wiki/Pietro_Mascagni,1863 - 1945,,,,,,1890,,arr. Friedric Brissler 1891,,,,,,"Ed. Bote & G. Bock, Berlin",,
,,,Med en Vandlilie,,"Martens, Heinrich",,1855 - 1904,,"Ibsen, Henrik",https://no.wikipedia.org/wiki/Henrik_Ibsen,1828 - 1906,,,,Op. 4 No 3,,,(I Brooklyn 1895),,,Eget forlag,,
4,,x,Mor,https://musescore.com/user/26911315/scores/6429846,"Martens, Heinrich",,1855 - 1904,,Anton Kristson,https://www.nb.no/items/749e2a1c67b1eb6e12a5d25c6792b0e9?page=0&searchText=%22Anton%20Kristson%22,1874 - 1899?,,1896,,Op. 4 No 4,,,,,,Eget forlag,,
,,,Reiar,,"Martens, Heinrich",,1855 - 1904,,Mathias Skeibrok,https://no.wikipedia.org/wiki/Mathias_Skeibrok,1851 - 1896,,1896,,Op. 4 No 2,,,,,,Eget forlag,,
4,,x,"Ri, ri te Kjörke",https://musescore.com/user/26911315/scores/6430974,"Martens, Heinrich",,1855 - 1904,,Mathias Skeibrok,https://no.wikipedia.org/wiki/Mathias_Skeibrok,1851 - 1896,,1896,,Op. 4 No 1,,,Krigsraabet April 1924,,,,,
3,,x,Evening Chimes,https://musescore.com/user/26911315/scores/24073372,"Marzian, Albert Frederick",https://www.ragpiano.com/comps/amarzian.shtml,1875 - 1947,,,,,,1913,,Op. 9 No 1,,,,,,,,
,K,,Herligste navn på jord,,"Mathisen, Ida",https://www.nb.no/items/484079955550210f8108dc687f557e51?page=183&searchText=%22Ida%20Mathisen%22,1882 - 1964,,Hjalmar Hansen,http://lesersanger.blogspot.com/2017/04/hjalmar-hansen-korsets-sanger.html,1873 - 1952,,1920,https://www.nb.no/items/cca234a301d8e82ccbadcdb65218ec87?page=169&searchText=%22Ida%20Mathisen%22,,,,,,,,,
,,,Dig har jeg kjær,,"May, Eduard",,,,,,,,,,,,,,,,,,
3,,x,Indtogsmarsch,https://musescore.com/user/26911315/scores/13316917,"Meier-Hansen, Oscar",https://lokalhistoriewiki.no/wiki/Oscar_Meier-Hansen,1875 - 1950,,,,,,1905,,,,,,,PDF,Oluf By,242,
5,,x,Sköite-galop,https://musescore.com/user/26911315/scores/15360952,"Meissner, Hjalmar",https://sv.wikipedia.org/wiki/Hjalmar_Meissner,1865 - 1940,,,,,,1885,,,,,,,,Petter Håkonsen,302,
3,,x,Abendfriede,https://musescore.com/user/26911315/scores/6331016,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1903,,Op. 3 No. 4,,,,,,Brødrene Hals,1049,
3,,x,der Schmetterling,https://musescore.com/user/26911315/scores/6556075,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1901,,,,,,,,,,
3,,x,Erotik,https://musescore.com/user/26911315/scores/6577743,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1901,,,,,,,,Brødrene Hals,1048,
3,,x,Fedralandssalme,https://musescore.com/user/26911315/scores/10729960,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,Elias Blix,https://no.wikipedia.org/wiki/Elias_Blix,1836 - 1902,,1907,,,,,,,,Warmuth's Musikforlag,2776,
4,,x,"Herre, tag i din sterke Haand",https://musescore.com/user/26911315/scores/8347043,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,"Bjørnson, Bjørnstjerne",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1914,,,,,,,,Norsk Musikforlag,4489,
2,,x,Melancolie,https://musescore.com/user/26911315/scores/24095794,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1903,,Op. 3 No. 3,,,,,,,,
2,,x,Melodie,https://musescore.com/user/26911315/scores/23924386,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1903,,Op. 3 No. 1,,,,,,,,
3,,x,Moder synger,https://musescore.com/user/26911315/scores/6888097,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1906?,,Op. 5 No. 3,,,,,,,,
,,,Sjø,,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,Vilhelm Krag,https://no.wikipedia.org/wiki/Vilhelm_Krag,1871 - 1933,,,,,,,,,,Wilhelm Hansen,13805b,
2,,x,Wiegenlied,https://musescore.com/user/26911315/scores/6334160?,"Melling, Einar",https://snl.no/Einar_Melling,1880 - 1949,,,,,,1906?,,Op. 5 No. 2,,,,,,,,
,,,Älä itke äifini!,,"Merikanto, Oskar",,1868 - 1924,,,,,,,,,,,,,,,,
2,K,x,Fader Vor,https://musescore.com/user/26911315/scores/23670709,"Michelet, Majen",,1842 - 1931,,,,,,1909,,,,,,,,Haakon Zapffe,975,
,K,x,Humoreske,https://musescore.com/user/26911315/scores/9965191,"Michelet, Majen",,1842 - 1931,,,,,,1904,,Op. 2 No. 1,,,,,,Haakon Zapffe,669,
3,K,x,I en tung stund,https://musescore.com/user/26911315/scores/22927312,"Michelet, Majen",,1842 - 1931,,"Bjørnson, Bjørnstjerne",https://no.wikipedia.org/wiki/Bjørnstjerne_Bjørnson,1832- 1910,,1909,,,,,,,,Haakon Zapffe,974,
5,K,x,Farvel til Tromsø,https://musescore.com/user/26911315/scores/16192102,"Michelsen, Alvilde",,1866  1943,,"Michelsen, Alvilde?",,,,1891,,,,,,,,,,
,,,Skriv hjem til Mor!,,"Miskow, Sextus",https://da.wikipedia.org/wiki/Sextus_Miskow,1857 - 1928,,Henry Albert Tandberg,https://no.wikipedia.org/wiki/Henry_Albert_Tandberg,1871 - 1959,,,,,,,,,,,,
,,,Maaltrostens vuggevise,,"Mo, Hans",https://nn.wikipedia.org/wiki/Hans_Mo,1835 - 1920,,Theodor Caspari,https://no.wikipedia.org/wiki/Theodor_Caspari,1853 - 1948,,1891-92,,Syngeplan for folkeskolen,,,,,,,,
