Kommentarer__0-5_,Kvinne,Musescore,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Unnamed_8,Unnamed_8_link,Når_komponert,Når_komponert_link,Unnamed_10,Unnamed_10_link,Unnamed_11,Diverse_kommentarer,Diverse_kommentarer_link,Egne_noter,Forlag,Platenr_,Unnamed_16
,x,,Syv sange for en syngestemme,,"Bergwitz-Goffeng, Hanna",https://nl-m-wikipedia-org.translate.goog/wiki/Hanna_Bergwitz-Goffeng?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en,1821 - 1879,,,,,,,,,,,,,,Carl Warmuth,,
,,,"Aa kjære , vene, inkje dröym!",,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Vinje, Aasmund Olavsson",https://no.wikipedia.org/wiki/Aasmund_Olavsson_Vinje,1818 - 1870,,1882,,Seks sange - Op 2. No 4,,,,,,Wilhelm-Hansen,9917,
,,,Graaten,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,Kristofer Janson,https://no.wikipedia.org/wiki/Kristofer_Janson,1841 - 1917,,1882,,Seks sange - Op 2. No 6,,,,,,Wilhelm-Hansen,9917,
,,,Höst,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,1882,,Seks sange - Op 2. No 3,,,,,,Wilhelm-Hansen,9917,
,,,Jeg ved ensteds mellem Barskovens Trør,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Moe, Jørgen",https://nn.wikipedia.org/wiki/Jørgen_Moe,1813 - 1882,,1882,,Seks sange - Op 2. No 2,,,,,,Wilhelm-Hansen,9917,
,,,Millom Rosor,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,Kristofer Janson,https://no.wikipedia.org/wiki/Kristofer_Janson,1841 - 1917,,1882,,Seks sange - Op 2. No 5,,,,,,Wilhelm-Hansen,9917,
3,,,Spörgsmaal,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,1890,,Fem sange - Op 3. No 5,,,,,,Wilhelm-Hansen,9917,
,,,Ved Lövfald,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,"Beyer, Frants",https://no.wikipedia.org/wiki/Frants_Beyer,1851 - 1918,,1882,,Seks sange - Op 2. No 1,,,,,,Wilhelm-Hansen,9917,
5,,x,Jeg længes,https://musescore.com/user/26911315/scores/6877882,"Billington, Karl",https://www.nb.no/items/70129e880a4c9e2bcd297487a9de7e0f?page=257,1864 - 1922,,"Billington, Karl",https://www.nb.no/items/70129e880a4c9e2bcd297487a9de7e0f?page=257,1864 - 1922,,1920?,,,,,,,,Norsk Musikforlag,4892,
5,,,"Home, sweet Home",,"Bishop, Henry Rowley",https://en.wikipedia.org/wiki/Henry_Bishop_(composer),1786 - 1855,,John Howard Payne,https://en.wikipedia.org/wiki/John_Howard_Payne,1791 - 1852,,1823,,Fra Operaen Clari.,,,,,,,,
