Kommentarer (0-5),Kvinne,Musescore,Melodi,Komponist,Levde når,Lyrikk,Unnamed: 7,Når komponert,Unnamed: 9,Unnamed: 10,Diverse kommentarer,Egne noter,Forlag,Platenr.,Unnamed: 15
,,,Den Norske Løve,"Borg, Oscar",1851 - 1930,,,,,,,,,,
3,,,Fredrikstens-Marsch,"Borg, Oscar",1851 - 1930,,,1899,,,,,Carl Warmuth,2427,
,,x,Generalstabens Honnørmarsch,"Borg, Oscar",1851 - 1930,,,1914,,,,,Norsk Musikforlag,4688,
4,,x,Jernbane-Galop,"Borg, Oscar",1851 - 1930,,,1905,Composed 1879,,,,Carl Warmuth,2705,
5,,x,Kong Haakon VII's Honnør-marsch,"Borg, Oscar",1851 - 1930,,,1905,Op. 55,,,Kun PDF.,Carl Warmuth,2730,
5,,,Kronprins Olav's honnørmarsj,"Borg, Oscar",1851 - 1930,,,,,,,,,,
3,,x,Nordpol-Marsch,"Borg, Oscar",1851 - 1930,,,1896,Op. 33,,,,,,
4,,x,Norsk Turnermarsch,"Borg, Oscar",1851 - 1930,,,1886,Op. 11,,,,,,
5,,x,Revelje & Tappenstrek,"Borg, Oscar",1851 - 1930,,,1905,Op. 50,,,,Carl Warmuth,2713,
3,,x,Postage Polka,"Brainard, Charles S.",1839 - 1897,,,1893,Published in Christiania 1894,,,,Brødrene Hals,740,
,,,Bredesens vals,"Bredesen, Gudbrand",1833 - 1922,,,1865,,,,,,,
,K,x,To smaastykker,"Brekke, Jeanette",1862 - 1929,,,1913,,,,,Norsk Musikforlag,5807,
5,K,x,In die Ferne,"Brinkmann, Minna",1831 - 1890,,,1857,,,,,,,
2,K,x,En  liten Skälmunge,Broström Hildur,1865 - 1948,,,1896,,,,,,,
3,K,x,Öländings-marsch,Broström Hildur,1865 - 1948,,,1893,,,,,,,
3,K,x,To sange,"Brown, Elise",1825 - 1920,"Bjørnson, Bjørnstjerne ",1832 - 1910,1877,Real name: Lona Solberg,,,,Carl Warmuth,318,
3,,x,Schwarzwaldklänge,"Brüning, Ernst",,,,1902,,,,,,,
,,,Lyngblomst,"Bræin, Edvard",1887 - 1957,Theodor Caspari,1853 - 1948,1917,,,,,Norsk Musikforlag,4566,
4,,x,I folkevisetone (Opus 12 No 2),"Bruch, Max",1838 - 1920,,,1861,Nordisk Musiktidende - 1887,,,,Carl Warmuth,,
3,K,x,Frieden,"Bugge, Magda",1846 - 1923,Nina v. Thal.,,Ca 1915,Op. 14 No 3,,,,Oluf By,394,
,K,,Når i Sommeraftenrøden,"Bugge, Magda",1846 - 1923,,,1884,Nordisk Musiktidende,,,,,,
4,K,x,Stille der Nacht,"Bugge, Magda",1846 - 1923,Nina v. Thal.,,Ca 1915,Op. 14 No 1,,,,Oluf By,394,
5,K,x,Traum,"Bugge, Magda",1846 - 1923,Nina v. Thal.,,Ca 1915,Op. 14 No 2,,,,Oluf By,394,
4,,x,Adagio,"Bull, Ole",1810 - 1880,,,1841,,,,,Norsk Musikforlag (& Carl Warmuth),1222,
,,,Bellone,"Bull, Ole",1810 - 1880,,,1845?,Arr. Carl Grobe,,,,,,
,,,I ensomme stunde,"Bull, Ole",1810 - 1880,,,,,,,,,,
5,,x,"Marsch af ""Washingtons Minde""","Bull, Ole",1810 - 1880,,,1844,Published 1885,,,,Carl Warmuth,1000,
,,,Valse sentimentale,"Buvig, Jacob",,,,1887,,,,,Petter Håkonsen,336,
5,,x,Tre concertetuder,"Bøhn, Dagmar",1872 - 1965,,,1898,Op. 1,,,,Carl Warmuth,2338/40,
,,,Killingdans,"Bøhn, Gustav",1875 - 1954,"Garborg, Arne",1851 - 1924,,Op. 10 No 2,,,,Oluf By,1346,
3,,x,8 orgelpreludier,"Cappelen, Christian",1845 - 1916,,,1887,Nordisk Musiktidende No 1 - 1887,,,,Carl Warmuth,,
3,,x,Albumblade - Opus 10 no. 1,"Cappelen, Christian",1845 - 1916,,,1881,,,,,Carl Warmuth,770,
2,,x,Albumblade - Opus 10 no. 2,"Cappelen, Christian",1845 - 1916,,,1881,,,,,Carl Warmuth,770,
3,,x,Albumblade - Opus 10 no. 3,"Cappelen, Christian",1845 - 1916,,,1881,,,,,Carl Warmuth,770,
4,,x,Albumblade - Opus 10 no. 4,"Cappelen, Christian",1845 - 1916,,,1881,,,,,Carl Warmuth,770,
5,,x,Berceuse,"Cappelen, Christian",1845 - 1916,,,1886,Op. 18 No 2,,,,Carl Warmuth,1220,
5,,x,Chanson d'espoir,"Cappelen, Christian",1845 - 1916,,,1886,Op. 18 No 4,,,,Carl Warmuth,1220,
3,,x,Min Herre har kalt meg,"Cappelen, Christian",1845 - 1916,Sigvald Skavlan,1839 - 1912,1894,From opus 29 (Diakonissesang),,,,Brødrene Hals,727,
1,,x,Elegie,"Cappelen, Christian",1845 - 1916,,,1889,Op. 22 No 2,,,,Brødrene Hals,433,
3,,x,Festmarsch,"Cappelen, Christian",1845 - 1916,,,1882,Op. 11,,,,Carl Warmuth,790,
5,,x,For kvinden,"Cappelen, Christian",1845 - 1916,Peter Andreas Jensen,1812 - 1867,1883,Op. 14 No 2,,,,Carl Warmuth,893,
4,,x,Foraarshilsen,"Cappelen, Christian",1845 - 1916,,,1885,"""Stand-alone"" version in 1886",,,,Carl Warmuth,1000,
4,,x,Holberg-menuet,"Cappelen, Christian",1845 - 1916,,,1884,,,,,Carl Warmuth,977,
5,,x,Humoreske,"Cappelen, Christian",1845 - 1916,,,1889,Op. 22 No 3,,,,Brødrene Hals,434,
,,x,I Skoven,"Cappelen, Christian",1845 - 1916,Ludwig Uhland,1787 - 1862,1883,Op. 14 No 3,,,,Carl Warmuth,894,
2,,x,Impromptu,"Cappelen, Christian",1845 - 1916,,,1884,Op. 16 No 3,,,Ikke egne noter.,Carl Warmuth,975,
2,,x,2den Mazurka Caprice,"Cappelen, Christian",1845 - 1916,,,1885,Op. 17,,,,Carl Warmuth,1093,
3,,x,Mazurka Caprice,"Cappelen, Christian",1845 - 1916,,,1884,Op. 15,,,,Carl Warmuth,,
2,,x,Melodie,"Cappelen, Christian",1845 - 1916,,,1884,Nordisk Musiktidende No 9,,,,,,
4,,x,Menuet,"Cappelen, Christian",1845 - 1916,,,1888,Nordisk Musiktidende No 10 1888,,,,,,
4,,x,Min Herre har kalt meg,"Cappelen, Christian",1845 - 1916,"Skavlan, Sigvald",1839 - 1912,1894,,,,,,,
