Unnamed: 0,Melodi,Komponist,Levde når,Lyrikk,Levde når.1,Når komponert,Diverse,Diverse.1,Dublett?,Forlag,Nr.,Unnamed: 12
,Det er herlig å være sigøyner,"Bruun-Lie, Per",1914 - 1977,Per Kvist,1890 - 1947,,,,,,,
,Edderkoppvalsen,"Bruun-Lie, Per",1914 - 1977,Per Kvist,1890 - 1947,194x,,,,Norsk Musikforlag,7260,
,Eventyrnatt,"Bråten, Birger",1917 - 1977,"Bråten, Birger",1917 - 1977,1947,,,,"Harald Lyche, Drammen",,
,Plainte,"Bugge Olsen, Jens",1895 - 1985,,,1911,,,,Haakon Zapffe,1066,
,Anna Lovinda,"Bye, Erik",1926 - 2004,"Bye, Erik",1926 - 2004,1960,Anna Lovinda,,,Norsk Musikkforlag,8386,
,En Sørlandsvise,"Bähncke, William",1865 - 1928,"Arnesen, Odd",,1923,Publisert i Norge,,,Musikcentralens forlag,,
,Op med humøret!,"Bøyesen, Carl Christian (""Calle"")",1917 - 1999,"Bøyesen, Carl Christian (""Calle"")",1917 - 1999,<1940?,,,,Eget forlag,,
,Ingen kan kysse som du,Carl Ekberg,,Carl Ekberg,,1925,,,,,,
,Lönseth-viser,Carl Lönseth,1888 - 1962,Carl Lönseth,1888 - 1962,1930,,,,,,
,Under Syrinhækken,Carl M. Winternitz,,Magnus Brostrup Landstad,1876 - 1956,,,,,,,
,När klockarna tystnat,"Carlberg, Bengt",,"Lidström, Ture",,1929,,,,Edition Sylvain,,
,Vær trofast min venn,"Carlsen, Bjørn",,"Hansen, Juul",1913 - 1981,,,,2,Musikk-huset,265,
,Jeg lengter hjem,"Carlsen, Bjørn",,Bjørn Carlsen,,,,,,,,
,I brænding og veir,"Carlsen, Carsten",1892 - 1961,,,,,,,,,
,Tango,"Carlsen, Carsten",1892 - 1961,,,1926,Olaf Larsen Chokoladefabrik,,,Oluf By,,
,En liten gylden ring,"Carlsen, Henry",1899 - 1955,Arne Svendsen,1884 - 1958,1936,,,,,,
,Enn en gang skal fuglene synge,"Carsten, Bert",1905 - 1989,R. T,,1944,Svensk tekst Harry Iseborg,,,Presto Forlag,,
,När bröllopsklockor ringa,"Carsten, Bert",1905 - 1989,"Sandberg, Sven-Olof",1905 - 1974,1929,Harald og Sonjas brudevals 1968.,,,Norske Noter,3,
,"Tjohei min vän, nu är jag här igjen!","Carsten, Bert",1905 - 1989,Folke Edwards,,1927,,,,,,
x,Limelight,"Chaplin, Charlie",1889 - 1977,,,,,,,,,
,Florence tango,Chocabio,,S. S. Wilson (Anita Halldén),1878 - 1970,1928,,,,Ernst Rolf,1670,
,Telemarksving,Chris Christensen,,,,ca 1935,,,,Bartnes forlag,,
,Midtsommer-Dansen,Christian Danning,,,,,Oppnotert av Christian Danning,,4,,,
,Når det kommer en båt med bananer,"Christiansen, Eric",1910 - 1969,"Hansen, Juul",1913 - 1981,1945,Omtale,,,Musikkhuset A/S,272,
,Cilleros,"Casadella, Damasco",,,,1926,Pseudonym for norsk komponist?,,,Musikcentralens Forlag,152,
,Da Lilleguld kom,"Clasen, Claus Frimann",1894 - 1970,"Clasen, Claus Frimann",1894 - 1970,1927,,,,,,
,Lykkeliten,"Clasen, Claus Frimann",1894 - 1970,"Clasen, Claus Frimann",1894 - 1970,1927,Omtale,,,Norsk Musikforlag,5478,
,Solvals,"Clausen, Elisabeth O(line) Helga (f. Kohler)",1901 - 1994,,,1928?,Reklame for Mowinckels Margarinfabrik,,,,,
,Freia,Con Conrad,1891 - 1938,Per Kvist,1890 - 1947,1921,Reklame for Freia,,,,,
,Då sänder jag en hälsning,"Dahlquist, Lars-Erik (Lasse)",1910 - 1979,"Dahlquist, Lars-Erik (Lasse)",1910 - 1979,1930,,,,Svenska Noter,39,
,Her danser gamlekara,"Dahlquist, Lasse",1910 - 1979,"Hansen, Juul",1913 - 1981,1945,,,,Carl M. Iversen,215,
,"Very welcome hjem, Mr. Swanson","Dahlquist, Lasse",1910 - 1979,Carl Viggo Meincke,1902 - 1959,1952,,,,Carl M. Iversen,313,
,Det er min musik!,"Dahlquist, Lasse",1910 - 1979,"Dahlquist, Lasse",1910 - 1979,1942,,,2,,,
,Vannliljer,"Danielsen, Ragnar",1917 - 1976,Harriet Weidemann Ørn,1886 - 1954,1944,( f. Harriet Weidemann Strøm),,,,,
,Lago Maggiore,"De Weille, Benny",1915 - 1977,"Hansen, Juul",1913 - 1981,1953,,,,,,
,Jeg vil sitte på en sky å gynge,"Degerman, Rolf",1909 - 1993,Erik Diesen,1922 - 1999,1952,,,,,,
,Paa bøljan den blaa,"Dehn, Ørnulf",1889 - 1918,"Dehn, Ørnulf",1889 - 1918,,,,,Lødsøll & Horntved Musikforlag,1,
,Dypbrune øyne,"Delmore, Alton",1908 - 1964,Claus Frimann Clasen (Lyktemannen),1894 - 1970,1937,Norsk utgave fra 1951,,,,,
,Giv mig dit Hjerte Maria,"Deneke, Erik",1904 - 1966,"Deneke, Erik",1904 - 1966,1939,,,,Jac. Boesen,633,
,I solgangsvind,"Dippner, Bern",1913 - 1977,Bern Dippner,1913 - 1977,1943,,,,,,
,Lillemanns vuggesang,"Dippner, Bern",1913 - 1977,Bern Dippner,1913 - 1977,1943,,,,Norsk Schlagerforlag,,
